EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,EVENT_TYPE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,INJURIES_INDIRECT,DEATHS_INDIRECT,TOR_LENGTH,TOR_WIDTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
5129729,UNION CO.,PINEDALE,1/3/2000,Tornado,3,0,4,250000,0,MS,0,0,20,600,PINEDALE,34.38333,-89.25,34.6,-89.08333
5133317,CRITTENDEN CO.,CRAYNE,1/3/2000,Tornado,3,0,3,5000000,0,KY,0,0,15,440,CRAYNE,37.26667,-88.08333,37.38333,-87.81667
5131965,WEBSTER CO.,DIAMOND,1/3/2000,Tornado,3,0,0,2400000,0,KY,0,0,9,440,DIAMOND,37.38333,-87.85,37.48333,-87.73333
5132346,DAVIESS CO.,ROME,1/3/2000,Tornado,3,0,18,64000000,0,KY,0,0,7,880,ROME,37.71667,-87.18333,37.76667,-87.11667
5132156,MITCHELL CO.,CAMILLA,2/13/2000,Tornado,3,11,175,20000000,2000000,GA,0,0,9.2,300,CAMILLA,31.16667,-84.26667,31.23333,-84.11667
5132157,GRADY CO.,CAIRO,2/14/2000,Tornado,3,6,15,3500000,3000000,GA,0,0,8.5,300,CAIRO,31.01667,-84.2,31,-84.05
5132573,THOMAS CO.,MEIGS,2/14/2000,Tornado,3,0,0,500000,0,GA,0,0,2,300,MEIGS,31.06667,-84.15,31.1,-84.1
5132572,MITCHELL CO.,CAMILLA,2/14/2000,Tornado,3,1,1,1000000,0,GA,0,0,4.5,300,CAMILLA,31.08333,-84.01667,31.06667,-84.01667
5136671,BURLESON CO.,CALDWELL,3/10/2000,Tornado,3,0,2,1000000,0,TX,0,0,21,800,CALDWELL,30.41667,-96.68333,30.4,-96.35
5137406,TARRANT CO.,FT WORTH,3/28/2000,Tornado,3,2,80,0,0,TX,0,0,4,250,FT WORTH,32.75,-97.35,32.75,-97.35
