EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
938002,JEFFERSON CO.,WALKER CHAPEL,1/25/21,2240,Tornado, ,EF3,1,30,0,0,AL,CST-6, ,155525,C,73,BMX,0,0,NWS Storm Survey, ,10.4,900,0,SE,1,WNW,CHALKVILLE,1/25/21,2255,33.5965,-86.8256,33.6598,-86.6678,"National Weather Service meteorologists surveyed damage in northern Jefferson County and determined that it was consistent with an EF3 tornado, with maximum winds near 150 mph. The tornado began along Chapel Hills Parkway, where minor shingle damage occurred. The tornado tracked northeastward across Ellard Road and directly over the Walker Chapel Road overpass on Interstate 65. It was at this interstate exit where the tornado began to intensify rapidly, snapping numerous power poles and causing substantial damage to a hotel. The tornado continued northeastward, crossing Highway 31, causing mostly tree damage along the highway. As the tornado moved into residential areas along Fulton Drive and Lykes Boulevard, substantial damage occurred with several homes being destroyed with at least one being swept off the foundation. There was also significant tree damage in the neighborhood. Several homes along Georgetown Lane suffered significant damage as wind breached garage doors, aiding in complete roof loss in some cases. Other damage included destroyed fences, sheds, and lofting of a hot tub. Numerous trees were uprooted or snapped.||As the tornado continued toward the northeast, it paralleled Carson Road and caused substantial damage to homes along Meida Circle, Darlene Drive, and New Castle Road. Buildings in an industrial area along Carson Road were damaged, including a fleet of vehicles at Hurst Towing. The damage along New Castle Road was widespread with a few trees debarked or snapped half way down the trunk, and debris from homes thrown considerable distances. The tornado began to weaken somewhat after crossing North Pine Hill Road, but still caused minor damage to the Fultondale High School and a wooded area to the east.  As it continued eastward crossing Indian Valley Road, several trees were uprooted and a few homes received minor damage.  Along Highway 79, dozens of mobile homes were damaged by falling trees in the Rusk Mobile Home Park. The tornado then crossed Highway 75 in Center Point, where trees and power lines were downed near the Jefferson County Multi-Services Facility. The tornado began to weaken further at this point, but still produced a narrow discernable track of EF0 damage just east of Center Point Lake, where trees were uprooted and minor roof and structural damage occurred. Nearing the end of its life cycle, the tornado turned northward before dissipating near Country View Court in the Arrowhead subdivision of Center Point.","A unusually warm and humid airmass was present across Central Alabama the night of January 25th due to persistent and deep south to southwest low level flow.  Surface  dew points were in the low to mid 60s and surface-based instability reached 1000-1200 J/kg. Strong shear over a deep layer was also in place and combined with the instability, favored a risk for severe storms.||The storm that produced the tornado over Jefferson County developed over Central Mississippi. As the storm moved across Mississippi and into West Alabama, it exhibited episodes of mid level rotation, but not strong enough to produce a tornado. As the storm entered Jefferson County, its structure underwent organization. A rotational signature quickly matured, with an associated BWER signature on KBMX radar. A strong tornado formed just north of the city of Birmingham.",1
945569,BRUNSWICK CO.,GRISSETTOWN,2/15/21,2334,Tornado, ,EF3,3,10,0,0,NC,EST-5, ,156532,C,19,ILM,0,0,NWS Storm Survey, ,21.9,275,1,SSW,3,E,CAMP BRANCH,2/16/21,2,33.9118,-78.5096,34.1774,-78.3008,"The tornado touched down near the intersection of Old Georgetown Road SW and Angel Trace Road as an EF-0, where a couple of pine trees were snapped and several large limbs were broken. It moved to the northeast across a forest, then rapidly intensified to an EF-2 as it approached Hwy 904. A large portion of a roof was blown off a metal building on the west side of 904, several RVs were rolled over, and several large pine trees were snapped. The tornado crossed Hwy 904, snapped numerous trees and caused moderate damage to a large metal building and church.||The tornado entered the Ocean Ridge Plantation neighborhood with wind speeds up to 125 mph. Hundreds of trees were snapped, and many homes sustained minor to moderate damage. It crossed Rosebury Court SW, then strengthened to its maximum intensity of 160 mph (EF-3), as it approached Cambria Court SW. Two homes were completely destroyed in this area, and several more sustained moderate to major damage. The tornado reached its maximum path width of 275 yards as it moved across Windsor Circle, although maximum winds decreased to 115 mph (EF2). Many homes sustained moderate to major damage, hundreds of large trees were snapped, and one automobile was observed rolled on its side.||It crossed Hwy 17 as an EF-1, then re-intensified to an EF-2, causing major damage to several homes and snapping hundreds of trees along Green Bay Road NW and Old Shallote Road NW. The tornado continued to produce a near continuous path of tree damage through forest and swamp land, across Hwy 130 and Highway 211, confirmed by helicopter overflight. The tornado lifted approximately three miles east of highway 211 after passing west of the Bear Pen Airstrip.",Strong low pressure and a cold front produced an EF-3 tornado.,2
946864,HALE CO.,HAVANA,3/25/21,1116,Tornado, ,EF3,0,0,0,0,AL,CST-6, ,156666,C,65,BMX,0,0,NWS Storm Survey, ,10.02,1400,4,NE,6,NE,PHIPPS,3/25/21,1129,32.9386,-87.5753,33.004,-87.421,"National Weather Service meteorologists surveyed damage in eastern northeast Hale County and determined that it was consistent with an EF3 tornado, with maximum winds near 140 mph.||The tornado initially began in a heavily wooded area northeast of Gabriel Creek Rd and tracked northeast. Radar imagery suggests the tornado quickly intensified. Farther downstream, significant timber damage was observed on County Rd 50, as well as National Forest Rd 706. This timber damage was quite impressive and very wide at many points with both hardwood and softwood trees snapped and uprooted. The magnitude of timber damage suggested winds of 140 mph. The tornado continued northeast causing further damage to a large swath of the Talladega National Forest in far northeast Hale County.  The tornado crossed into southeast Tuscaloosa County very near the northwest tip of Bibb County.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",3
946867,SHELBY CO.,BOOTHTON,3/25/21,1209,Tornado, ,EF3,0,5,0,0,AL,CST-6, ,156666,C,117,BMX,0,0,NWS Storm Survey, ,39.35,1100,3,WNW,4,NNE,STERRETT,3/25/21,1301,33.2,-87.022,33.502,-86.444,"National Weather Service meteorologists surveyed damage in northern Shelby County and determined that it was consistent with an EF3 tornado, with maximum winds near 140 mph.||This tornado originated in Bibb County and crossed into Shelby County along Shades Creek west of River Road.  The tornado traveled northeast in a wooded area along the Cahaba River, paralleling County Highway 13. As the tornado moved into Helena, it caused shingle damage to several homes in the neighborhoods near Old Cahaba Parkway and Hillsboro Parkway. A house that was under construction also collapsed. The tornado intensified again as it crossed Buck Creek near Old Town Helena, snapping numerous trees and causing roof damage. A few homes near Cunningham Drive suffered partial roof loss. The tornado weakened as it crossed New Hope Mountain near Pelham High School, but intensified to EF2 intensity along Crosscreek Trail and Wilderness Road in Pelham. Roofs were removed from four homes with collapse of an exterior wall on two of them, with many other homes suffering varying degrees of roof damage. The tornado also caused several trees to fall on homes in the Chandalar neighborhood. The tornado weakened somewhat by the time it crossed Highway 31 but still damaged the roofs of several businesses and mobile homes while uprooting trees. It began to strengthen again after crossing Interstate 65, paralleling Highway 119 through the south side of Indian Springs Village and far northern portions of Oak Mountain State Park. It continued to uproot or snap numerous trees and continued to cause roof damage to residences. Pockets of EF2 damage were found in neighborhoods south of Heardmont Park and near Oak Mountain Elementary and Intermediate Schools, with significant damage to residences from falling trees and partial roof loss. Significant timber damage with some damage to structures was also noted near the lakes at the north gate to Oak Mountain State Park. The most significant structural damage along the path occurred in the Eagle Point neighborhood just before Highway 280. Several homes suffered complete roof loss, a couple homes suffered collapse of exterior walls, and all walls collapsed for one home on Eagle Valley Drive. The majority of the other homes in the path in this neighborhood suffered varying degrees of roof damage, with numerous trees snapped. After crossing Highway 280, the tornado continued to uproot numerous trees as it moved over Oak Mountain. It caused roof damage along Highland View Drive and in the Highland Lakes neighborhood, including complete roof loss to a residence on Grove Park Way. Varying degrees of roof damage also occurred in the Greystone Farms neighborhood, with significant roof loss on several homes. The tornado crossed Dunnavant Valley Road and caused significant timber damage at Shoal Creek Country Club, and complete roof loss for another residence. The tornado then moved into a wooded area as it crossed Double Oak Mountain, continuing to uproot numerous trees. It crossed Highway 25 near Vandiver and then began to parallel Shelby County Highway 43, causing roof damage to residences and completely destroying a manufactured home on Crabapple Lane. The tornado crossed into St. Clair County near Wolf Creek Road.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",4
946870,CALHOUN CO.,BOILING SPGS,3/25/21,1331,Tornado, ,EF3,6,10,0,0,AL,CST-6, ,156666,C,15,BMX,0,0,NWS Storm Survey, ,32.45,1700,5,WSW,2,WSW,LADIGA,3/25/21,1418,33.7026,-86.1053,33.962,-85.634,"National Weather Service meteorologists surveyed damage in Calhoun County and determined that it was consistent with an EF3 tornado, with maximum winds near 140 mph.||The tornado first touched down on Boiling Springs Road snapping and uprooting trees just north of Mitchellville Road. The tornado widened as it traveled northeast damaging structures along Boiling Springs Road, downing trees and power lines. A double wide mobile home was demolished on Simpson Bend Road. The tornado then produced extensive damage in the Macon community, destroying numerous mobile homes with moderate to major damage to several site built homes. In this area, tree damage was also extensive with numerous hardwoods snapped near the base along Ragan Chapel Road.  As the tornado approached Highway 77, it reached its maximum intensity and was likely multi-vortex in nature based on the damage pattern. Here, a large swath of trees were snapped. A large factory, Precision Materials, sustained major damage. The entire structure and supporting frame of this large well built metal building was collapsed and bent inward. The owner said they received the tornado warning and moved all employees into a safe shelter in the interior of the building before the tornado hit. None of the occupants were injured. A large tractor trailer at this location was also partially lofted and then dragged 60 feet. The damage at this location was rated EF-3 . The tornado crossed County Road 77, with damage to several homes along Ragans Chapel Road. At least two homes sustained significant damage with most of their roof removed and windows blown out. A large farm building was also demolished. Ragans Chapel UMC, a structure dating back to the late 1800s, sustained major damage with most walls collapsed. The caretaker���s home behind the church sustained major damage.||Along Mudd Street, several mobile homes were completely destroyed. A fatality occurred in one unanchored tiny home when the structure completely collapsed. Additional site built homes in the area from Mudd Street to Lost Creek Road sustained significant damage. The tornado continued northeast over mainly forested areas snapping and uprooting large swaths of trees. A wide expanse of damage was noted from Dark Hollow Road and Boiling Springs Road. Here many power lines were downed and poles snapped. Several site built homes sustained roof and structural damage, farm buildings and sheds were destroyed, and a mobile home was completely destroyed.||Significant damage was noted along Ingram Wells Road and Grayton Road South. Along Ingram Wells Road several homes were damaged and outbuildings destroyed. Along Grayton Road several mobile homes were destroyed with the undercarriages and contents blown well downstream. A doublewide mobile home also sustained significant damage. Three fatalities occurred here along with multiple significant injuries. A wide swath of tree damage continued along Grayton Road South and Mountain View Road.||The tornado then moved into the Wellington community as it crossed US Highway 431. Here several site built homes sustained moderate damage with partial loss of roof structures. Many power poles were also snapped along with damage to a convenience store. Significant damage was noted along Joe Martin Drive and Wellington Road. One site built home sustained collapse of most walls and cars were tossed. Six occupants sheltered safely in an interior closet. Additional homes sustained roof damage with one moved well off its foundation. Several mobile homes were completely destroyed. One occupant was killed near Mangum Road, but 13 others survived after sheltering in a family storm pit.||A wide swath of damage continued from East Wellington into Pleasant Valley with mobile homes destroyed along Old Sulphur Springs Road and site built homes with roof and structural damage. Trees were snapped and uprooted along County Road 204 along with damage to structures. Chicken houses were destroyed along Pleasant Valley Road, along with substantial damage to a church and business along Angel Drive. The tornado continued northeastward where additional damage was observed along Nisbet Lake Road, Dogwood Lane, and Charlie Penny Road. This was mostly timber damage where the tornado uprooted and snapped hundreds of trees. Varying degrees of minor structure damage was observed here as well. Farther northeast, the tornado moved toward New Liberty and Roy Webb Rd where damage was sustained at Learning Tree. The tornado continued northeast crossing Old Piedmont Gadsden Highway and US Hwy 278. Several swaths of timber damage was observed throughout these areas as well as minor damage to a few homes. The tornado crossed into southern Cherokee County just west of Highway 9.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",5
948201,HALE CO.,GREENSBORO MUNI ARPT,3/25/21,1526,Tornado, ,EF3,0,6,0,0,AL,CST-6, ,156666,C,65,BMX,0,0,NWS Storm Survey, ,17.68,2300,4,W,2,S,HOGGLESVILLE,3/25/21,1547,32.6892,-87.7387,32.814,-87.473,"National Weather Service meteorologists surveyed damage in northern Hale County and determined that it was consistent with an EF3 tornado, with maximum winds near 150 mph.||A strong, long-track tornado traveled across Hale, Perry, Bibb, Chilton, and Shelby Counties during the afternoon of March 25, 2021. It is estimated that the tornado had a 98 minute life span, with a path length near 80 miles. It is impossible to know the exact number, but tens of thousands of trees were snapped or uprooted. The volume and extent of snapped trees pushed the rating to EF-3, around 150 mph.  Along the tornados path, hundreds of residences were damaged or destroyed, either directly by wind or due to fallen trees.||The tornado began along Highway 17 just south of the town of Sawyerville. The tornado rapidly gained strength and widened as it neared and crossed Highway 14. Across Hale County, a large swath of hardwood and softwood trees were uprooted. Some debarking of trees was observed just south of Highway 14, probably from high velocity debris throwing. Five large transmission towers were downed on the north side of Highway 14. These towers are rated for 120+ mph winds according to representatives from Alabama Power. It is unknown whether this was due to a domino effect or direct blowdown of each tower. Either way, a powerful tornado occurred. Residential damage included wall collapse, roofing torn off, shifting off of foundation, or total structural loss. There were six minor injuries in Hale County.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",6
948202,PERRY CO.,MORGAN SPGS,3/25/21,1547,Tornado, ,EF3,0,0,0,0,AL,CST-6, ,156666,C,105,BMX,0,0,NWS Storm Survey, ,9.58,2300,5,NW,5,NW,ELLARDS,3/25/21,1557,32.814,-87.473,32.864,-87.319,"National Weather Service meteorologists surveyed damage in northwest Perry County and determined that it was consistent with an EF3 tornado, with maximum winds near 150 mph.||A strong, long-track tornado traveled across Hale, Perry, Bibb, Chilton, and Shelby Counties during the afternoon of March 25, 2021. It is estimated that the tornado had a 98 minute life span, with a path length of 80 miles. The tornado crossed from Hale into Perry County near County Road 51.  A mobile home was destroyed with a site built home on the same property sustaining roof loss and some shifting of the crawl space foundation. Structural damage was most apparent in the vicinity of the confluence of County Road 23 and Old Salem Church Road. In this area, mobile homes were destroyed, with one site built home having roof loss and exterior wall failure, with another sustaining roof loss and some warping of the wood framing from wind entry. A nearby church had roof loss with an adjacent metal building sustaining a lot of damage consisting significant peeling of paneling and structure warping from wind entry. Other structural damage occurred along the path as well. The tornado crossed into Bibb County Road just south of County Road 44.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",7
948219,BIBB CO.,PONDVILLE,3/25/21,1557,Tornado, ,EF3,0,5,0,0,AL,CST-6, ,156666,C,7,BMX,0,0,NWS Storm Survey, ,27.99,2300,2,S,3,E,BRIERFIELD,3/25/21,1631,32.864,-87.319,33.027,-86.877,"National Weather Service meteorologists surveyed damage in southern Bibb County and determined that it was consistent with an EF3 tornado, with maximum winds near 150 mph.||A strong, long-track tornado traveled across Hale, Perry, Bibb, Chilton, and Shelby Counties during the afternoon of March 25, 2021. It is estimated that the tornado had a 98 minute life span, with a path length of 80 miles. The tornado crossed into Bibb County from Perry County just south of County Road 44. There were three primary areas of concentrated structural damage in Bibb County. Along Belcher Road, anchoring to a metal building used for farm equipment failed, sending the structure crashing into an adjacent house. Across the field, a site built home had sections of roof removed and its open face garage blown away, with an adjacent farm building collapsed. In Centreville city limits, snapped trees were prevalent near the Cahaba River. Along Montgomery Road east of town, heavy damage occurred where trees were debarked. Mobile homes were crushed by fallen trees and site built homes had roof damage. In the town of Ashby, along Buzzard Road, several mobile homes were destroyed. Anchoring was not apparent, though at least one of the mobile homes was thrown a fair distance. Site built homes on the same street suffered light to heavy roof damage but were still standing. The tornado crossed into northwest Chilton County just south of County Road 108. There were five minor injuries in Bibb County.","A potent storm system affected Central Alabama on Thursday, March 25th. A highly-sheared environment combined with increasing instability produced numerous tornadic thunderstorms. Severe parameters were supportive of significant and long-track supercells, prompting the issuance of a rare High Risk Convective Outlook from the Storm Prediction Center for portions of Central Alabama.||A total of 10 tornado tracks were surveyed in Central Alabama. This included 4 EF3 tornadoes, 3 EF2 tornadoes, and 3 EF1 tornadoes. Damage was significant along the paths of the most intense tornadoes and, unfortunately, injuries and fatalities occurred. |Some storms were cyclic, meaning multiple tornadoes were produced by the same storm. The most impressive tornado of the event was the long-track tornado that traveled nearly 80 miles from Hale County to Shelby County. This ranked as the seventh longest single tornado track in the state of Alabama.",8
941340,COWETA CO.,HANDY,3/25/21,2254,Tornado, ,EF4,0,0,20000000,0,GA,EST-5, ,155997,C,77,FFC,0,1,NWS Storm Survey, ,21.72,1850,4,S,4,ENE,THOMAS XRDS,3/25/21,2319,33.316,-84.973,33.425,-84.62,"A National Weather Service survey determined that an EF4 tornado with maximum wind speeds 170 MPH and a maximum path width of 1850 yards occurred in Coweta County. The Heard County tornado crossed into Coweta County along Bob Wilson Road and gained strength as it moved east-northeast crossing JD Walton Road and travelled up Smokey Road with trees falling on some homes. Wind speeds quickly increased to over 150 MPH, EF3 intensity, near Timberland Trail on the southwest side of Newnan. Many homes had major damage and one home had all but the back wall collapse. The family survived with no injuries by taking shelter in their bathtub. The tornado continued east-northeast crossing Smokey Road and Belk Road where it reached its maximum intensity of 170 MPH, EF4 intensity, as it entered the western city limits of Newnan. One home at  the end of Fairview Drive had all exterior and interior walls removed. Four homes along  Arlington Court north of Lagrange St were destroyed with one having all exterior and interior walls removed, but leaving a vehicle nearly untouched in what was the garage. |As the tornado moved east of Boone Drive, it directly struck Newnan High School and the surrounding athletics fields causing broken windows and doors and extensive roof and structural damage. A portion of the second-story brick wall near the front of the main campus building collapsed. One man died after he suffered a heart attack while trying to reach his daughter's home in a heavily damaged neighborhood after the storm had passed and first responders were unable to reach him due to the large amounts of debris in the area. The tornado weaken from this point onward continuing  into the southern part of downtown Newnan, passing directly over the county Justice Center and adjacent administrative building which houses the 911 facility. Extensive roof and window damage along with some interior wind and water damage occurred at the facility. Numerous homes continued to receive damage from winds and falling trees as the tornado moved east-northeast crossing E Broad Street and Greison Trail with 120 to 135 MPH wind speeds. The tornado weakened further as it crossed I-85, causing only      minor damage to trees and businesses on the southern end of the Ashley Park shopping center and a hospital. The tornado did re-intensify near the Windsong and White Oak neighborhoods around Shenandoah Boulevard and White Oak Drive east of the Newnan city limits, with max winds of 120 MPH. The tornado continued east-northeast weakening again but still producing damage to trees and power lines, some falling on homes as it crossed Sullivan Road and Lora Smith Road before passing over the Thomas Crossroads area. In neighborhoods south of Andrew Baily Road and north of Highway 34, several homes received damage from falling trees. The tornado continued weakening with more sporadic damage to several trees as it continued east-northeast crossing Fisher Road and Minix Road and moving into Fayette County. [3/25/21: Tornado #2, County #2/3, EF-4, Heard, Coweta, Fayette, 2021:007].","A very moist and moderately unstable airmass over the region combined with strong shear and persistent southwesterly mid and upper flow produced numerous showers and thunderstorms across north and parts of central Georgia through the day on the 25th into the morning of the 26th. Numerous reports of flooding were received with several reports of severe thunderstorms and a few isolated tornadoes. Rainfall amounts of 2.5 to 6 inches were common over north Georgia, with 6 to 8 inches observed over the higher elevations of northeast Georgia.",9
954642,ST. LANDRY PAR.,WAXIA,4/10/21,106,Tornado, ,EF3,1,7,1000000,0,LA,CST-6, ,157931,C,97,LCH,0,0,NWS Storm Survey, ,8.71,200,1,WSW,2,NNE,DANKS,4/10/21,118,30.666,-91.9586,30.7499,-91.8492,"A strong tornado touched down on Bolden Road, destroying several homes. One single wide mobile home that was tied down rolled numerous times for over 320 yards. One man died in this home. A double wide mobile home next door rolled for over 100 yards. Two people were seriously injured. A third home on pilings slid over 50 yards, with 5 people inside, who received cuts and bruises.||In total, 15 homes were damaged or destroyed along the path of this tornado. In addition, numerous trees and power lines were snapped, and some barns and outbuildings were destroyed. Max estimated winds 140 mph.",A cold front and associated short wave pushed across Louisiana early in the morning producing showers and storms. A pair of tornadoes occurred along with an isolated hail report.,10
